Player,Tm,2018-19,Guaranteed
Stephen Curry,GSW,$37457154,$166476243
Chris Paul,HOU,$35654150,$159730592
LeBron James,LAL,$35654150,$113310573
Russell Westbrook,OKC,$35654150,$158686150
Blake Griffin,DET,$32088932,$102919892
Gordon Hayward,BOS,$31214295,$63914985
Kyle Lowry,TOR,$31200000,$64496296
Paul George,OKC,$30560700,$99016668
Mike Conley,MEM,$30521116,$85459122
James Harden,HOU,$30431854,$152903854
Kevin Durant,GSW,$30000000,$30000000
Paul Millsap,DEN,$29730769,$60230769
Al Horford,BOS,$28928710,$28928710
Damian Lillard,POR,$27977689,$89406963
DeMar DeRozan,SAS,$27739975,$55479950
Chris Bosh,MIA,$26837720,$26837720
Otto Porter,CHI,$26011913,$53262489
Jrue Holiday,NOP,$25976111,$78238333
CJ McCollum,POR,$25759766,$82670877
Carmelo Anthony,ATL,$25534253,$25534253
Andrew Wiggins,MIN,$25467250,$146667250
Joel Embiid,PHI,$25467250,$25467250
Andre Drummond,DET,$25434263,$52527282
Hassan Whiteside,MIA,$25434263,$52527281
Anthony Davis,NOP,$25434263,$52527282
Bradley Beal,WAS,$25434263,$81279057
Nikola Joki,DEN,$24605181,$142710045
Giannis Antetokounmpo,MIL,$24157304,$77528091
Steven Adams,OKC,$24157304,$77528091
Kevin Love,CLE,$24119025,$144519025